"Date","INTERNATIONAL PRICES, EXPORT, United States of America (Gulf), Wheat (US No. 2, Hard Red Winter), USD/tonne","INTERNATIONAL PRICES, EXPORT, Argentina, Wheat (12%, Up River), USD/tonne","INTERNATIONAL PRICES, EXPORT, Australia (Eastern States), Wheat (ASW), USD/tonne","INTERNATIONAL PRICES, EXPORT, Canada (St Lawrence), Wheat (CWRS, 13.5%), USD/tonne","INTERNATIONAL PRICES, EXPORT, European Union (France), Wheat (grade 1, Rouen), USD/tonne","INTERNATIONAL PRICES, EXPORT, United States of America (Gulf), Wheat (US No. 2, Soft Red Winter), USD/tonne"
"05/01/2024","290.9","286.7","267.43","312.74","255.57","256.42"
"04/01/2024","281.6","254.2","243.41","285.95","220.27","232.42"
"03/01/2024","274.35","221.95","250.43","287.48","213.86","219.51"
"02/01/2024","277","221","269","299.76","225.81","242.27"
"01/01/2024","284.4","244.88","281.22","313.39","240.83","248.03"
"12/01/2023","290.05","247.6","296","316.57","247","256.82"
"11/01/2023","283.15","251","276.23","314.55","247.45","240.5"
"10/01/2023","296.6","302.48","296.32","312.45","246.86","237.65"
"09/01/2023","315.4","313.05","298.29","319.48","247.19","230.79"
"08/01/2023","318.12","321.76","293.65","332.7","252.74","235.37"
"07/01/2023","344.05","335.7","290.9","352.1","262","256.96"
"06/01/2023","346.3","357.7","274.41","329.55","254.73","259.83"
"05/01/2023","364.08","366.48","273.91","327.87","261.57","248.2"
"04/01/2023","379.45","344.95","294.3","336.95","279.65","277.52"
"03/01/2023","368.15","348","303","342.91","291.22","283.11"
"02/01/2023","392.75","361.05","322.6","371.35","320.55","307.98"
"01/01/2023","382.08","375","325.18","371.14","325.77","313.73"
"12/01/2022","385.95","392.9","335.18","379.23","331.55","314.32"
"11/01/2022","422.88","414.2","351.86","386.91","339.73","335.27"
"10/01/2022","439.75","422.55","351.29","389.43","343.95","351.72"
"09/01/2022","419.7","403","338.5","382.32","337.91","345.98"
"08/01/2022","383.12","407.2","356.74","376.13","340.83","316.18"
"07/01/2022","382.8","424.05","383.43","379.1","355.43","311.26"
"06/01/2022","457.75","478.35","413.14","458.5","408.41","373.19"
"05/01/2022","516.16","468.68","401.77","506.5","439.91","432.88"
"04/01/2022","496.4","422.2","392.9","467.52","432.33","429.4"
"03/01/2022","481.04","407.36","393.3","450.3","431.48","442.19"
"02/01/2022","386.68","316.55","322.25","408.8","317.6","337.54"
"01/01/2022","373.25","304.05","310.76","389.95","316.33","324.36"
"12/01/2021","379.5","317.75","308.25","416.75","326.75","329.36"
"11/01/2021","377.6","314","327.2","417.4","339.4","329.95"
"10/01/2021","353.25","302.25","320.75","396.75","322.75","301.6"
"09/01/2021","337","291.5","303.75","367.5","300.75","269.82"
"08/01/2021","323.8","285.4","293.8","371.8","294","271.95"
"07/01/2021","291.25","275.5","281.5","345.5","248.25","251.34"
"06/01/2021","284.8","274.2","284.8","324.2","266.8","262.88"
"05/01/2021","298.5","280","288.5","318.5","293.5","294"
"04/01/2021","281.25","267.25","272","302.5","273","278.44"
"03/01/2021","274.4","266.6","273","290","279.4","273.64"
"02/01/2021","290.75","272.25","274.25","293.75","287","278.1"
"01/01/2021","291.5","282.25","269.25","295.75","287.25","280.08"
"12/01/2020","267.4","269","246.2","273","263.4","249.13"
"11/01/2020","275.25","259.5","241.75","272.5","254.75","250.13"
"10/01/2020","273.25","257.25","248.25","263.25","247","245.44"
"09/01/2020","246.4","246","231.6","245.4","229.8","219.78"
"08/01/2020","220.75","239.75","218.25","234.75","219.5","207.66"
"07/01/2020","220.5","244","217.5","233.5","216","210.24"
"06/01/2020","216.4","240.8","229.6","238","209.2","200.29"
"05/01/2020","223","239","268","238.25","220.5","211.02"
"04/01/2020","232","244.25","276.75","236.75","223.5","222.2"
"03/01/2020","227","243.2","242.6","242","213.6","230.05"
"02/01/2020","230.25","240","247.5","249","215.75","239.75"
"01/01/2020","237","226.25","256.75","259.75","221.25","249.37"
"12/01/2019","225.2","203","247.2","251.4","211.6","238.3"